customer_id,customer_segment,customer_country,customer_state,customer_city,customer_zipcode,latitude,longitude,customer_country_key,customer_state_key,customer_city_key,customer_zipcode_key
2922,Consumer,Puerto Rico,PR,Caguas,725,18.26065254,-66.37051392,PUERTO RICO,PR,CAGUAS,725
8481,Consumer,Puerto Rico,PR,Caguas,725,18.22941971,-66.3705368,PUERTO RICO,PR,CAGUAS,725
5941,Corporate,EE. UU.,OH,Newark,43055,40.06034088,-82.40966034,EE UU,OH,NEWARK,43055
8744,Consumer,EE. UU.,CA,Salinas,93905,36.82228851,-121.5697632,EE UU,CA,SALINAS,93905
9915,Corporate,EE. UU.,MI,Highland Park,48203,42.39476013,-83.10075378,EE UU,MI,HIGHLAND PARK,48203
4011,Corporate,Puerto Rico,PR,Caguas,725,18.2883625,-66.37059021,PUERTO RICO,PR,CAGUAS,725
9792,Home Office,Puerto Rico,PR,Caguas,725,18.29927445,-66.37062836,PUERTO RICO,PR,CAGUAS,725
11699,Consumer,EE. UU.,VA,Hampton,23666,37.047966,-76.39997101,EE UU,VA,HAMPTON,23666
4675,Home Office,Puerto Rico,PR,Caguas,725,18.23113632,-66.37056732,PUERTO RICO,PR,CAGUAS,725
11767,Consumer,EE. UU.,CT,West Haven,6516,38.6287117,-75.94817352,EE UU,CT,WEST HAVEN,6516
5367,Home Office,Puerto Rico,PR,Caguas,725,18.21469116,-66.37051392,PUERTO RICO,PR,CAGUAS,725
8605,Home Office,Puerto Rico,PR,Caguas,725,18.20575523,-66.37055206,PUERTO RICO,PR,CAGUAS,725
1247,Home Office,Puerto Rico,PR,Caguas,725,18.26770783,-66.37054443,PUERTO RICO,PR,CAGUAS,725
8782,Home Office,Puerto Rico,PR,Caguas,725,18.22312355,-66.37058258,PUERTO RICO,PR,CAGUAS,725
2718,Consumer,Puerto Rico,PR,Caguas,725,18.28893662,-66.37057495,PUERTO RICO,PR,CAGUAS,725
10191,Consumer,Puerto Rico,PR,Caguas,725,18.23155022,-66.37055969,PUERTO RICO,PR,CAGUAS,725
1216,Consumer,Puerto Rico,PR,Caguas,725,18.28281403,-66.37051392,PUERTO RICO,PR,CAGUAS,725
7056,Consumer,Puerto Rico,PR,Caguas,725,18.25900841,-66.37052918,PUERTO RICO,PR,CAGUAS,725
8914,Consumer,Puerto Rico,PR,Yauco,698,18.03334045,-66.85192108,PUERTO RICO,PR,YAUCO,698
9110,Corporate,EE. UU.,MI,Mount Pleasant,48858,43.61513138,-84.60793304,EE UU,MI,MOUNT PLEASANT,48858
9971,Corporate,EE. UU.,MI,Detroit,48238,42.39110184,-83.13121796,EE UU,MI,DETROIT,48238
